atomicNumber, symbol, name, atomicMass, electronConfiguration,period,group, electronegativity, vanDelWaalsRadius, ionRadius, ionizationEnergy, electronAffinity, standardState, meltingPoint, boilingPoint,density, groupBlock
1, H , Hydrogen,1.00794,1s1 ,1,1,2.2,120,1.2 (+1),1312,-73,gas,14,20,0.0000899,nonmetal
2, He , Helium,4.002602,1s2 ,1,18,N/A,140,N/A,2372,0,gas,11,4,0.0001785,noble gas
3, Li , Lithium,6.941,[He] 2s1 ,2,1,0.98,182,76 (+1),520,-60,solid,454,1615,0.535,alkali metal
4, Be , Beryllium,9.012182,[He] 2s2 ,2,2,1.57,153,45 (+2),900,0,solid,1560,2743,1.848,alkaline earth metal
5, B , Boron,10.811,[He] 2s2 2p1 ,2,13,2.04,192,27 (+3),801,-27,solid,2348,4273,2.46,metalloid
6, C , Carbon,12.0107,[He] 2s2 2p2 ,2,14,2.55,170,16 (+4),1087,-154,solid,3823,4300,2.26,nonmetal
7, N , Nitrogen,14.0067,[He] 2s2 2p3 ,2,15,3.04,155,146 (-3),1402,-7,gas,63,77,0.001251,nonmetal
8, O , Oxygen,15.9994,[He] 2s2 2p4 ,2,16,3.44,152,140 (-2),1314,-141,gas,55,90,0.001429,nonmetal
9, F , Fluorine,18.9984032,[He] 2s2 2p5 ,2,17,3.98,147,133 (-1),1681,-328,gas,54,85,0.001696,halogen
10, Ne , Neon,20.1797,[He] 2s2 2p6 ,2,18,N/A,154,N/A,2081,0,gas,25,27,0.0009,noble gas
11, Na , Sodium,22.98976928,[Ne] 3s1 ,3,1,0.93,227,102 (+1),496,-53,solid,371,1156,0.968,alkali metal
12, Mg , Magnesium,24.305,[Ne] 3s2 ,3,2,1.31,173,72 (+2),738,0,solid,923,1363,1.738,alkaline earth metal
13, Al , Aluminum,26.9815386,[Ne] 3s2 3p1 ,3,13,1.61,184,53.5 (+3),578,-43,solid,933,2792,2.7,metal
14, Si , Silicon,28.0855,[Ne] 3s2 3p2 ,3,14,1.9,210,40 (+4),787,-134,solid,1687,3173,2.33,metalloid
15, P , Phosphorus,30.973762,[Ne] 3s2 3p3 ,3,15,2.19,180,44 (+3),1012,-72,solid,317,554,1.823,nonmetal
16, S , Sulfur,32.065,[Ne] 3s2 3p4 ,3,16,2.58,180,184 (-2),1000,-200,solid,388,718,1.96,nonmetal
17, Cl , Chlorine,35.453,[Ne] 3s2 3p5 ,3,17,3.16,175,181 (-1),1251,-349,gas,172,239,0.003214,halogen
