,C/u2082/H/u2083/O/u2082/u207B,Br/u00B2/u207B,CO/u2083/u00B2/u207B,ClO/u2082/u207B,Cl/u207B,OH/u207B,I/u207B,NO/u2083/u207B,O/u00B2/u207B,ClO/u2084/u207B,PO/u2084/u00B3/u207B,SO/u2084/u00B2/u207B,SO/u2083/u00B2/u207B
Al/u00B3/u207A,S,S,N,S,S,I,S,S,I,S,I,S,D
N/H/u2084/u207A,S,S,S,S,S,N,S,S,N,S,S,S,S
Ba/u00B2/u207A,S,S,I,S,S,S,S,S,sS,S,I,I,D
Ca/u00B2/u207A,S,S,I,S,S,S,S,S,sS,S,I,sS,I
Cu/u00B2/u207A,S,S,N,S,S,I,S,S,I,S,I,S,I
Fe/u00B2/u207A,S,S,I,S,S,I,S,S,I,S,I,S,I
Fe/u00B3/u207A,S,S,N,S,S,I,S,S,I,S,I,sS,D
Li/u207A,S,S,sS,S,S,S,S,S,S,S,sS,S,S
Mg/u00B2/u207A,S,S,I,S,S,I,S,S,I,S,I,S,D
K/u207A,S,S,S,S,S,S,S,S,S,S,S,S,S
Ag/u207A,sS,I,I,S,I,N,I,S,I,S,I,sS,I
Na/u207A,S,S,S,S,S,S,S,S,S,S,S,S,S
Sr/u00B2/u207A,S,S,I,S,S,S,S,S,S,S,I,I,I
Zn/u00B2/u207A,S,S,I,S,S,I,S,S,I,S,I,S,I
